系列,年,地域,施設タイプ,客室稼働率
全施設,2011,三重県,シティホテル,54.5
全施設,2011,三重県,ビジネスホテル,53.0
全施設,2011,三重県,リゾートホテル,37.8
全施設,2011,三重県,会社・団体の宿泊所,22.8
全施設,2011,三重県,全体,39.8
全施設,2011,三重県,旅館,26.9
全施設,2011,京都府,シティホテル,78.6
全施設,2011,京都府,ビジネスホテル,72.3
全施設,2011,京都府,リゾートホテル,55.5
全施設,2011,京都府,会社・団体の宿泊所,41.8
全施設,2011,京都府,全体,62.4
全施設,2011,京都府,旅館,40.8
全施設,2011,佐賀県,シティホテル,43.3
全施設,2011,佐賀県,ビジネスホテル,59.6
全施設,2011,佐賀県,リゾートホテル,38.0
全施設,2011,佐賀県,会社・団体の宿泊所,25.2
全施設,2011,佐賀県,全体,46.7
全施設,2011,佐賀県,旅館,41.8
全施設,2011,全国,シティホテル,67.1
全施設,2011,全国,ビジネスホテル,62.3
全施設,2011,全国,リゾートホテル,46.8
全施設,2011,全国,会社・団体の宿泊所,31.6
全施設,2011,全国,全体,51.8
全施設,2011,全国,旅館,34.7
全施設,2011,兵庫県,シティホテル,70.1
全施設,2011,兵庫県,ビジネスホテル,66.6
全施設,2011,兵庫県,リゾートホテル,55.1
全施設,2011,兵庫県,会社・団体の宿泊所,34.4
全施設,2011,兵庫県,全体,53.6
全施設,2011,兵庫県,旅館,37.3
全施設,2011,北海道,シティホテル,64.1
全施設,2011,北海道,ビジネスホテル,60.7
全施設,2011,北海道,リゾートホテル,41.8
全施設,2011,北海道,会社・団体の宿泊所,27.8
全施設,2011,北海道,全体,52.3
全施設,2011,北海道,旅館,40.7
全施設,2011,千葉県,シティホテル,60.5
全施設,2011,千葉県,ビジネスホテル,59.2
全施設,2011,千葉県,リゾートホテル,58.4
全施設,2011,千葉県,会社・団体の宿泊所,28.0
全施設,2011,千葉県,全体,52.6
全施設,2011,千葉県,旅館,27.2
全施設,2011,和歌山県,シティホテル,62.2
全施設,2011,和歌山県,ビジネスホテル,45.0
全施設,2011,和歌山県,リゾートホテル,45.4
全施設,2011,和歌山県,会社・団体の宿泊所,37.2
全施設,2011,和歌山県,全体,39.8
全施設,2011,和歌山県,旅館,37.8
全施設,2011,埼玉県,シティホテル,63.3
全施設,2011,埼玉県,ビジネスホテル,61.5
全施設,2011,埼玉県,リゾートホテル,27.5
全施設,2011,埼玉県,会社・団体の宿泊所,34.9
全施設,2011,埼玉県,全体,54.8
全施設,2011,埼玉県,旅館,32.7
全施設,2011,大分県,シティホテル,54.8
全施設,2011,大分県,ビジネスホテル,58.6
全施設,2011,大分県,リゾートホテル,58.4
全施設,2011,大分県,会社・団体の宿泊所,24.9
全施設,2011,大分県,全体,47.4
全施設,2011,大分県,旅館,34.9
全施設,2011,大阪府,シティホテル,77.4
全施設,2011,大阪府,ビジネスホテル,69.6
全施設,2011,大阪府,リゾートホテル,69.1
全施設,2011,大阪府,会社・団体の宿泊所,40.5
全施設,2011,大阪府,全体,68.2
全施設,2011,大阪府,旅館,32.5
全施設,2011,奈良県,シティホテル,64.4
全施設,2011,奈良県,ビジネスホテル,34.0
全施設,2011,奈良県,リゾートホテル,31.2
全施設,2011,奈良県,会社・団体の宿泊所,44.3
全施設,2011,奈良県,全体,33.7
全施設,2011,奈良県,旅館,28.9
全施設,2011,宮城県,シティホテル,67.6
全施設,2011,宮城県,ビジネスホテル,80.7
全施設,2011,宮城県,リゾートホテル,46.0
全施設,2011,宮城県,会社・団体の宿泊所,48.6
全施設,2011,宮城県,全体,66.8
全施設,2011,宮城県,旅館,48.9
全施設,2011,宮崎県,シティホテル,68.9
全施設,2011,宮崎県,ビジネスホテル,55.7
全施設,2011,宮崎県,リゾートホテル,39.5
全施設,2011,宮崎県,会社・団体の宿泊所,14.5
全施設,2011,宮崎県,全体,50.3
全施設,2011,宮崎県,旅館,33.8
全施設,2011,富山県,シティホテル,58.7
全施設,2011,富山県,ビジネスホテル,57.7
全施設,2011,富山県,リゾートホテル,42.4
全施設,2011,富山県,会社・団体の宿泊所,24.9
全施設,2011,富山県,全体,46.3
全施設,2011,富山県,旅館,30.1
全施設,2011,山口県,シティホテル,59.4
全施設,2011,山口県,ビジネスホテル,59.3
全施設,2011,山口県,リゾートホテル,53.3
全施設,2011,山口県,会社・団体の宿泊所,14.7
全施設,2011,山口県,全体,51.1
全施設,2011,山口県,旅館,36.7
全施設,2011,山形県,シティホテル,58.4
全施設,2011,山形県,ビジネスホテル,60.5
全施設,2011,山形県,リゾートホテル,29.9
全施設,2011,山形県,会社・団体の宿泊所,42.1
全施設,2011,山形県,全体,44.4
全施設,2011,山形県,旅館,33.3
全施設,2011,山梨県,シティホテル,54.5
全施設,2011,山梨県,ビジネスホテル,59.7
全施設,2011,山梨県,リゾートホテル,47.9
全施設,2011,山梨県,会社・団体の宿泊所,29.1
全施設,2011,山梨県,全体,40.3
全施設,2011,山梨県,旅館,32.6
全施設,2011,岐阜県,シティホテル,44.2
全施設,2011,岐阜県,ビジネスホテル,59.4
全施設,2011,岐阜県,リゾートホテル,42.8
全施設,2011,岐阜県,会社・団体の宿泊所,36.0
全施設,2011,岐阜県,全体,45.7
全施設,2011,岐阜県,旅館,36.2
全施設,2011,岡山県,シティホテル,56.3
全施設,2011,岡山県,ビジネスホテル,59.2
全施設,2011,岡山県,リゾートホテル,43.7
全施設,2011,岡山県,会社・団体の宿泊所,18.9
全施設,2011,岡山県,全体,47.1
全施設,2011,岡山県,旅館,29.1
全施設,2011,岩手県,シティホテル,65.4
全施設,2011,岩手県,ビジネスホテル,67.5
全施設,2011,岩手県,リゾートホテル,40.1
全施設,2011,岩手県,会社・団体の宿泊所,58.8
全施設,2011,岩手県,全体,53.2
全施設,2011,岩手県,旅館,44.1
全施設,2011,島根県,シティホテル,52.3
全施設,2011,島根県,ビジネスホテル,74.9
全施設,2011,島根県,リゾートホテル,29.7
全施設,2011,島根県,会社・団体の宿泊所,59.3
全施設,2011,島根県,全体,50.3
全施設,2011,島根県,旅館,33.3
全施設,2011,広島県,シティホテル,67.0
全施設,2011,広島県,ビジネスホテル,65.8
全施設,2011,広島県,リゾートホテル,47.9
全施設,2011,広島県,会社・団体の宿泊所,19.2
全施設,2011,広島県,全体,57.1
全施設,2011,広島県,旅館,38.4
全施設,2011,徳島県,シティホテル,56.5
全施設,2011,徳島県,ビジネスホテル,62.9
全施設,2011,徳島県,リゾートホテル,40.0
全施設,2011,徳島県,会社・団体の宿泊所,9.3
全施設,2011,徳島県,全体,44.2
全施設,2011,徳島県,旅館,24.2
全施設,2011,愛媛県,シティホテル,57.4
全施設,2011,愛媛県,ビジネスホテル,56.6
全施設,2011,愛媛県,リゾートホテル,46.8
全施設,2011,愛媛県,会社・団体の宿泊所,55.2
全施設,2011,愛媛県,全体,49.3
全施設,2011,愛媛県,旅館,38.2
全施設,2011,愛知県,シティホテル,69.4
全施設,2011,愛知県,ビジネスホテル,60.1
全施設,2011,愛知県,リゾートホテル,44.8
全施設,2011,愛知県,会社・団体の宿泊所,51.0
全施設,2011,愛知県,全体,56.2
全施設,2011,愛知県,旅館,34.3
全施設,2011,新潟県,シティホテル,57.0
全施設,2011,新潟県,ビジネスホテル,59.0
全施設,2011,新潟県,リゾートホテル,29.0
全施設,2011,新潟県,会社・団体の宿泊所,31.1
全施設,2011,新潟県,全体,40.2
全施設,2011,新潟県,旅館,28.4
全施設,2011,東京都,シティホテル,69.6
全施設,2011,東京都,ビジネスホテル,70.9
全施設,2011,東京都,リゾートホテル,54.7
全施設,2011,東京都,会社・団体の宿泊所,54.4
全施設,2011,東京都,全体,68.0
全施設,2011,東京都,旅館,30.3
全施設,2011,栃木県,シティホテル,55.8
全施設,2011,栃木県,ビジネスホテル,59.3
全施設,2011,栃木県,リゾートホテル,38.2
全施設,2011,栃木県,会社・団体の宿泊所,26.6
全施設,2011,栃木県,全体,41.3
全施設,2011,栃木県,旅館,32.7
全施設,2011,沖縄県,シティホテル,59.9
全施設,2011,沖縄県,ビジネスホテル,59.6
全施設,2011,沖縄県,リゾートホテル,58.9
全施設,2011,沖縄県,会社・団体の宿泊所,19.5
全施設,2011,沖縄県,全体,53.4
全施設,2011,沖縄県,旅館,26.2
全施設,2011,滋賀県,シティホテル,59.0
全施設,2011,滋賀県,ビジネスホテル,54.5
全施設,2011,滋賀県,リゾートホテル,54.9
全施設,2011,滋賀県,会社・団体の宿泊所,24.1
全施設,2011,滋賀県,全体,46.6
全施設,2011,滋賀県,旅館,33.3
全施設,2011,熊本県,シティホテル,66.9
全施設,2011,熊本県,ビジネスホテル,60.4
全施設,2011,熊本県,リゾートホテル,45.4
全施設,2011,熊本県,会社・団体の宿泊所,33.6
全施設,2011,熊本県,全体,51.0
全施設,2011,熊本県,旅館,39.0
全施設,2011,石川県,シティホテル,60.4
全施設,2011,石川県,ビジネスホテル,60.4
全施設,2011,石川県,リゾートホテル,47.2
全施設,2011,石川県,会社・団体の宿泊所,47.5
全施設,2011,石川県,全体,53.0
全施設,2011,石川県,旅館,42.3
全施設,2011,神奈川県,シティホテル,71.0
全施設,2011,神奈川県,ビジネスホテル,68.3
全施設,2011,神奈川県,リゾートホテル,58.5
全施設,2011,神奈川県,会社・団体の宿泊所,35.8
全施設,2011,神奈川県,全体,59.9
全施設,2011,神奈川県,旅館,44.2
全施設,2011,福井県,シティホテル,47.8
全施設,2011,福井県,ビジネスホテル,62.1
全施設,2011,福井県,リゾートホテル,41.2
全施設,2011,福井県,会社・団体の宿泊所,39.1
全施設,2011,福井県,全体,39.3
全施設,2011,福井県,旅館,27.5
全施設,2011,福岡県,シティホテル,70.6
全施設,2011,福岡県,ビジネスホテル,62.2
全施設,2011,福岡県,リゾートホテル,55.1
全施設,2011,福岡県,会社・団体の宿泊所,36.4
全施設,2011,福岡県,全体,59.0
全施設,2011,福岡県,旅館,28.1
全施設,2011,福島県,シティホテル,72.7
全施設,2011,福島県,ビジネスホテル,72.1
全施設,2011,福島県,リゾートホテル,39.7
全施設,2011,福島県,会社・団体の宿泊所,31.4
全施設,2011,福島県,全体,51.2
全施設,2011,福島県,旅館,38.5
全施設,2011,秋田県,シティホテル,56.0
全施設,2011,秋田県,ビジネスホテル,54.5
全施設,2011,秋田県,リゾートホテル,34.0
全施設,2011,秋田県,会社・団体の宿泊所,12.5
全施設,2011,秋田県,全体,42.1
全施設,2011,秋田県,旅館,33.2
全施設,2011,群馬県,シティホテル,51.7
全施設,2011,群馬県,ビジネスホテル,52.6
全施設,2011,群馬県,リゾートホテル,43.8
全施設,2011,群馬県,会社・団体の宿泊所,28.3
全施設,2011,群馬県,全体,43.8
全施設,2011,群馬県,旅館,39.0
全施設,2011,茨城県,シティホテル,57.0
全施設,2011,茨城県,ビジネスホテル,54.3
全施設,2011,茨城県,リゾートホテル,47.8
全施設,2011,茨城県,会社・団体の宿泊所,43.0
全施設,2011,茨城県,全体,46.8
全施設,2011,茨城県,旅館,27.3
全施設,2011,長崎県,シティホテル,62.2
全施設,2011,長崎県,ビジネスホテル,56.1
全施設,2011,長崎県,リゾートホテル,41.8
全施設,2011,長崎県,会社・団体の宿泊所,35.2
全施設,2011,長崎県,全体,45.6
全施設,2011,長崎県,旅館,35.7
全施設,2011,長野県,シティホテル,65.8
全施設,2011,長野県,ビジネスホテル,57.1
全施設,2011,長野県,リゾートホテル,39.1
全施設,2011,長野県,会社・団体の宿泊所,21.9
全施設,2011,長野県,全体,35.7
全施設,2011,長野県,旅館,27.6
全施設,2011,青森県,シティホテル,47.3
全施設,2011,青森県,ビジネスホテル,53.8
